Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration
1037561426,MNQU5,06/16/2025 16:04:48 +01:00,06/16/2025 16:05:27 +01:00,22182.500000000,22188.750000000,0.74000,-12.500000000,1,Short,06/16/2025 00:00:00 -05:00,00:00:38.6417650
1037561427,MNQU5,06/16/2025 16:04:57 +01:00,06/16/2025 16:05:27 +01:00,22189.500000000,22188.750000000,0.74000,1.500000000,1,Short,06/16/2025 00:00:00 -05:00,00:00:30.1445450
1072759200,MNQU5,06/26/2025 16:15:09 +01:00,06/26/2025 16:16:22 +01:00,22587.250000000,22604.500000000,2.22000,-103.500000000,3,Short,06/26/2025 00:00:00 -05:00,00:01:13.1613130
1038110562,MNQU5,06/16/2025 17:21:35 +01:00,06/16/2025 17:26:35 +01:00,22187.000000000,22167.250000000,0.74000,39.500000000,1,Short,06/16/2025 00:00:00 -05:00,00:05:00.0839710
1038110565,MNQU5,06/16/2025 17:21:45 +01:00,06/16/2025 17:26:35 +01:00,22186.250000000,22167.250000000,0.74000,38.000000000,1,Short,06/16/2025 00:00:00 -05:00,00:04:49.1020020
1038110567,MNQU5,06/16/2025 17:24:36 +01:00,06/16/2025 17:26:35 +01:00,22174.250000000,22167.250000000,0.74000,14.000000000,1,Short,06/16/2025 00:00:00 -05:00,00:01:58.7844840
1038110568,MNQU5,06/16/2025 17:24:36 +01:00,06/16/2025 17:26:35 +01:00,22174.250000000,22167.250000000,0.74000,14.000000000,1,Short,06/16/2025 00:00:00 -05:00,00:01:58.5438440
1038110570,MNQU5,06/16/2025 17:25:41 +01:00,06/16/2025 17:26:35 +01:00,22167.750000000,22167.250000000,0.74000,1.000000000,1,Short,06/16/2025 00:00:00 -05:00,00:00:53.9789290
1038196673,MNQU5,06/16/2025 17:42:08 +01:00,06/16/2025 17:43:23 +01:00,22148.250000000,22154.250000000,3.70000,-60.000000000,5,Short,06/16/2025 00:00:00 -05:00,00:01:15.6531410
1038348574,MNQU5,06/16/2025 18:11:47 +01:00,06/16/2025 18:13:26 +01:00,22161.500000000,22153.250000000,3.70000,82.500000000,5,Short,06/16/2025 00:00:00 -05:00,00:01:39.6201460
1072983125,MNQU5,06/26/2025 16:24:15 +01:00,06/26/2025 16:40:24 +01:00,22601.500000000,22596.000000000,2.22000,33.000000000,3,Short,06/26/2025 00:00:00 -05:00,00:16:09.4719330
1072983126,MNQU5,06/26/2025 16:35:26 +01:00,06/26/2025 16:40:24 +01:00,22585.500000000,22596.000000000,2.22000,-63.000000000,3,Short,06/26/2025 00:00:00 -05:00,00:04:58.5674570
1072994956,MNQU5,06/26/2025 16:41:04 +01:00,06/26/2025 16:42:36 +01:00,22596.500000000,22604.750000000,2.22000,-49.500000000,3,Short,06/26/2025 00:00:00 -05:00,00:01:32.4671350
1073009062,MNQU5,06/26/2025 16:43:38 +01:00,06/26/2025 16:45:03 +01:00,22598.500000000,22597.500000000,2.22000,6.000000000,3,Short,06/26/2025 00:00:00 -05:00,00:01:24.8419450
1073009065,MNQU5,06/26/2025 16:44:07 +01:00,06/26/2025 16:45:03 +01:00,22595.750000000,22597.500000000,2.22000,-10.500000000,3,Short,06/26/2025 00:00:00 -05:00,00:00:55.8666570
1073028373,MNQU5,06/26/2025 16:45:22 +01:00,06/26/2025 16:48:29 +01:00,22599.750000000,22604.500000000,3.70000,-47.500000000,5,Short,06/26/2025 00:00:00 -05:00,00:03:06.3571420
1073067349,MNQU5,06/26/2025 16:51:13 +01:00,06/26/2025 16:54:38 +01:00,22597.250000000,22619.750000000,2.22000,-135.000000000,3,Short,06/26/2025 00:00:00 -05:00,00:03:25.4609410
1073067353,MNQU5,06/26/2025 16:54:10 +01:00,06/26/2025 16:54:38 +01:00,22605.500000000,22619.750000000,2.22000,-85.500000000,3,Short,06/26/2025 00:00:00 -05:00,00:00:28.3824350
1073088231,MNQU5,06/26/2025 16:54:45 +01:00,06/26/2025 16:58:01 +01:00,22611.500000000,22611.500000000,2.22000,0.000000000,3,Short,06/26/2025 00:00:00 -05:00,00:03:16.2401580
1073088234,MNQU5,06/26/2025 16:54:46 +01:00,06/26/2025 16:58:01 +01:00,22611.750000000,22611.500000000,2.22000,1.500000000,3,Short,06/26/2025 00:00:00 -05:00,00:03:15.6811010
1073088235,MNQU5,06/26/2025 16:54:46 +01:00,06/26/2025 16:58:01 +01:00,22611.250000000,22611.500000000,2.22000,-1.500000000,3,Short,06/26/2025 00:00:00 -05:00,00:03:14.7664280
1038629242,MNQU5,06/16/2025 19:05:30 +01:00,06/16/2025 19:06:36 +01:00,22177.750000000,22182.750000000,3.70000,-50.000000000,5,Short,06/16/2025 00:00:00 -05:00,00:01:05.3725730
1073165620,MNQU5,06/26/2025 17:00:14 +01:00,06/26/2025 17:11:26 +01:00,22608.250000000,22621.500000000,2.22000,-79.500000000,3,Short,06/26/2025 00:00:00 -05:00,00:11:11.3175080
1073179925,MNQU5,06/26/2025 17:10:18 +01:00,06/26/2025 17:15:47 +01:00,22620.000000000,22619.250000000,2.22000,4.500000000,3,Short,06/26/2025 00:00:00 -05:00,00:05:28.9792240
1073188277,MNQU5,06/26/2025 17:14:41 +01:00,06/26/2025 17:17:38 +01:00,22619.250000000,22619.000000000,0.74000,0.500000000,1,Short,06/26/2025 00:00:00 -05:00,00:02:57.7712160
1073188278,MNQU5,06/26/2025 17:15:17 +01:00,06/26/2025 17:17:38 +01:00,22618.500000000,22619.000000000,2.22000,-3.000000000,3,Short,06/26/2025 00:00:00 -05:00,00:02:21.2214610
1073187842,MNQU5,06/26/2025 17:13:58 +01:00,06/26/2025 17:17:31 +01:00,22619.000000000,22619.000000000,2.22000,0.000000000,3,Short,06/26/2025 00:00:00 -05:00,00:03:32.4565380
1073187843,MNQU5,06/26/2025 17:14:41 +01:00,06/26/2025 17:17:31 +01:00,22619.250000000,22619.000000000,1.48000,1.000000000,2,Short,06/26/2025 00:00:00 -05:00,00:02:49.9234190
1073199710,MNQU5,06/26/2025 17:18:48 +01:00,06/26/2025 17:20:56 +01:00,22619.000000000,22622.750000000,3.70000,37.500000000,5,Long,06/26/2025 00:00:00 -05:00,00:02:08.1625650
1073199712,MNQU5,06/26/2025 17:19:13 +01:00,06/26/2025 17:20:56 +01:00,22621.750000000,22622.750000000,3.70000,10.000000000,5,Long,06/26/2025 00:00:00 -05:00,00:01:42.5325330
1073220013,MNQU5,06/26/2025 17:21:40 +01:00,06/26/2025 17:25:41 +01:00,22625.250000000,22621.000000000,2.22000,25.500000000,3,Short,06/26/2025 00:00:00 -05:00,00:04:01.5769920
1073220014,MNQU5,06/26/2025 17:22:38 +01:00,06/26/2025 17:25:41 +01:00,22625.250000000,22621.000000000,2.22000,25.500000000,3,Short,06/26/2025 00:00:00 -05:00,00:03:03.2892970
1073232181,MNQU5,06/26/2025 17:26:14 +01:00,06/26/2025 17:28:25 +01:00,22621.500000000,22617.000000000,2.22000,27.000000000,3,Short,06/26/2025 00:00:00 -05:00,00:02:10.6749260
1073232182,MNQU5,06/26/2025 17:26:46 +01:00,06/26/2025 17:28:25 +01:00,22621.750000000,22617.000000000,2.22000,28.500000000,3,Short,06/26/2025 00:00:00 -05:00,00:01:39.1938670
1050281355,MNQU5,06/19/2025 13:13:18 +01:00,06/19/2025 13:50:28 +01:00,21799.250000000,21756.000000000,0.74000,86.500000000,1,Short,06/19/2025 00:00:00 -05:00,00:37:09.3450780
1038695085,MNQU5,06/16/2025 19:06:59 +01:00,06/16/2025 19:23:36 +01:00,22177.750000000,22175.500000000,0.74000,4.500000000,1,Short,06/16/2025 00:00:00 -05:00,00:16:37.0302650
1038695086,MNQU5,06/16/2025 19:13:47 +01:00,06/16/2025 19:23:36 +01:00,22170.750000000,22175.500000000,0.74000,-9.500000000,1,Short,06/16/2025 00:00:00 -05:00,00:09:49.2600030
1038695087,MNQU5,06/16/2025 19:15:13 +01:00,06/16/2025 19:23:36 +01:00,22178.500000000,22175.500000000,0.74000,6.000000000,1,Short,06/16/2025 00:00:00 -05:00,00:08:22.9845280
1073316504,MNQU5,06/26/2025 17:29:06 +01:00,06/26/2025 17:45:53 +01:00,22615.500000000,22601.250000000,2.22000,85.500000000,3,Short,06/26/2025 00:00:00 -05:00,00:16:46.2787440
1073316505,MNQU5,06/26/2025 17:29:29 +01:00,06/26/2025 17:45:53 +01:00,22612.750000000,22601.250000000,0.74000,23.000000000,1,Short,06/26/2025 00:00:00 -05:00,00:16:23.3061790
1073379714,MNQU5,06/26/2025 17:29:29 +01:00,06/26/2025 18:01:38 +01:00,22612.750000000,22609.750000000,1.48000,12.000000000,2,Short,06/26/2025 00:00:00 -05:00,00:32:08.1010780
1073379715,MNQU5,06/26/2025 17:39:11 +01:00,06/26/2025 18:01:38 +01:00,22607.500000000,22609.750000000,1.48000,-9.000000000,2,Short,06/26/2025 00:00:00 -05:00,00:22:26.1345290
1065303541,MNQU5,06/24/2025 17:34:32 +01:00,06/24/2025 20:55:30 +01:00,22390.750000000,22418.250000000,2.22000,-165.000000000,3,Short,06/24/2025 00:00:00 -05:00,03:20:58.4617700
1065303542,MNQU5,06/24/2025 17:40:22 +01:00,06/24/2025 20:55:30 +01:00,22402.750000000,22418.250000000,2.22000,-93.000000000,3,Short,06/24/2025 00:00:00 -05:00,03:15:08.1111820
1065303543,MNQU5,06/24/2025 19:19:48 +01:00,06/24/2025 20:55:30 +01:00,22415.000000000,22418.250000000,2.22000,-19.500000000,3,Short,06/24/2025 00:00:00 -05:00,01:35:42.4733260
1065303544,MNQU5,06/24/2025 19:19:48 +01:00,06/24/2025 20:55:30 +01:00,22415.000000000,22418.250000000,2.22000,-19.500000000,3,Short,06/24/2025 00:00:00 -05:00,01:35:41.8792590
1065382727,MNQU5,06/24/2025 20:56:02 +01:00,06/24/2025 21:10:30 +01:00,22411.500000000,22401.250000000,2.22000,61.500000000,3,Short,06/24/2025 00:00:00 -05:00,00:14:27.2359830
1065461933,MNQU5,06/24/2025 23:22:49 +01:00,06/24/2025 23:30:43 +01:00,22396.500000000,22395.000000000,0.74000,3.000000000,1,Short,06/25/2025 00:00:00 -05:00,00:07:53.8391850
1065461934,MNQU5,06/24/2025 23:24:27 +01:00,06/24/2025 23:30:43 +01:00,22395.750000000,22395.000000000,0.74000,1.500000000,1,Short,06/25/2025 00:00:00 -05:00,00:06:15.8079100
1024726773,MNQM5,06/11/2025 19:06:31 +01:00,06/11/2025 19:15:00 +01:00,21875.750000000,21826.000000000,0.74000,-99.500000000,1,Long,06/11/2025 00:00:00 -05:00,00:08:28.4101560
1038838335,MNQU5,06/16/2025 19:53:54 +01:00,06/16/2025 19:55:29 +01:00,22159.000000000,22166.750000000,0.74000,15.500000000,1,Long,06/16/2025 00:00:00 -05:00,00:01:35.1742790
1038838337,MNQU5,06/16/2025 19:54:34 +01:00,06/16/2025 19:55:29 +01:00,22160.000000000,22166.750000000,0.74000,13.500000000,1,Long,06/16/2025 00:00:00 -05:00,00:00:54.8320230
1038838338,MNQU5,06/16/2025 19:54:41 +01:00,06/16/2025 19:55:29 +01:00,22161.000000000,22166.750000000,0.74000,11.500000000,1,Long,06/16/2025 00:00:00 -05:00,00:00:47.4644980
1038838339,MNQU5,06/16/2025 19:54:42 +01:00,06/16/2025 19:55:29 +01:00,22161.250000000,22166.750000000,0.74000,11.000000000,1,Long,06/16/2025 00:00:00 -05:00,00:00:47.3006410
1038845739,MNQU5,06/16/2025 19:56:26 +01:00,06/16/2025 19:56:48 +01:00,22172.000000000,22171.750000000,3.70000,-2.500000000,5,Long,06/16/2025 00:00:00 -05:00,00:00:22.0563890
1073706268,MNQU5,06/26/2025 17:39:11 +01:00,06/26/2025 19:16:04 +01:00,22607.500000000,22680.000000000,0.74000,-145.000000000,1,Short,06/26/2025 00:00:00 -05:00,01:36:53.0224720
1073706271,MNQU5,06/26/2025 17:49:19 +01:00,06/26/2025 19:16:04 +01:00,22606.000000000,22680.000000000,2.22000,-444.000000000,3,Short,06/26/2025 00:00:00 -05:00,01:26:45.5432380
1073706272,MNQU5,06/26/2025 18:02:58 +01:00,06/26/2025 19:16:04 +01:00,22612.500000000,22680.000000000,2.22000,-405.000000000,3,Short,06/26/2025 00:00:00 -05:00,01:13:06.2309950
1073706275,MNQU5,06/26/2025 18:18:13 +01:00,06/26/2025 19:16:04 +01:00,22623.250000000,22680.000000000,2.22000,-340.500000000,3,Short,06/26/2025 00:00:00 -05:00,00:57:51.9129260
1038850784,MNQU5,06/16/2025 19:57:26 +01:00,06/16/2025 19:57:54 +01:00,22173.250000000,22173.500000000,0.74000,0.500000000,1,Long,06/16/2025 00:00:00 -05:00,00:00:27.6957630
1038850785,MNQU5,06/16/2025 19:57:40 +01:00,06/16/2025 19:57:54 +01:00,22174.750000000,22173.500000000,0.74000,-2.500000000,1,Long,06/16/2025 00:00:00 -05:00,00:00:14.0265750
1038874805,MNQU5,06/16/2025 20:00:04 +01:00,06/16/2025 20:03:42 +01:00,22166.250000000,22161.500000000,0.74000,-9.500000000,1,Long,06/16/2025 00:00:00 -05:00,00:03:38.1237900
1038874789,MNQU5,06/16/2025 19:58:51 +01:00,06/16/2025 20:03:42 +01:00,22172.500000000,22162.000000000,0.74000,-21.000000000,1,Long,06/16/2025 00:00:00 -05:00,00:04:50.2840890
1038877158,MNQU5,06/16/2025 20:00:22 +01:00,06/16/2025 20:04:01 +01:00,22170.500000000,22159.000000000,0.74000,-23.000000000,1,Long,06/16/2025 00:00:00 -05:00,00:03:39.3101560
1038877159,MNQU5,06/16/2025 20:00:31 +01:00,06/16/2025 20:04:01 +01:00,22173.000000000,22159.000000000,0.74000,-28.000000000,1,Long,06/16/2025 00:00:00 -05:00,00:03:30.2059050
1038877160,MNQU5,06/16/2025 20:00:41 +01:00,06/16/2025 20:04:01 +01:00,22171.750000000,22159.000000000,0.74000,-25.500000000,1,Long,06/16/2025 00:00:00 -05:00,00:03:19.3770930
1038884220,MNQU5,06/16/2025 20:05:30 +01:00,06/16/2025 20:06:08 +01:00,22162.500000000,22161.000000000,3.70000,-15.000000000,5,Long,06/16/2025 00:00:00 -05:00,00:00:37.7232300
1038896196,MNQU5,06/16/2025 20:08:45 +01:00,06/16/2025 20:09:06 +01:00,22155.000000000,22149.250000000,3.70000,-57.500000000,5,Long,06/16/2025 00:00:00 -05:00,00:00:21.4678670
1038900028,MNQU5,06/16/2025 20:09:12 +01:00,06/16/2025 20:09:43 +01:00,22148.500000000,22152.750000000,3.70000,-42.500000000,5,Short,06/16/2025 00:00:00 -05:00,00:00:30.6177480
1050610303,MNQU5,06/19/2025 14:38:07 +01:00,06/19/2025 14:51:36 +01:00,21730.000000000,21679.500000000,0.74000,101.000000000,1,Short,06/19/2025 00:00:00 -05:00,00:13:28.4562550
1044568296,MNQU5,06/17/2025 23:18:58 +01:00,06/18/2025 02:02:31 +01:00,21907.000000000,22002.000000000,0.74000,-190.000000000,1,Short,06/18/2025 00:00:00 -05:00,02:43:32.9577300
1044568298,MNQU5,06/17/2025 23:19:33 +01:00,06/18/2025 02:02:31 +01:00,21904.250000000,22002.000000000,0.74000,-195.500000000,1,Short,06/18/2025 00:00:00 -05:00,02:42:57.8442410
1025055514,MNQM5,06/11/2025 19:37:34 +01:00,06/11/2025 20:06:02 +01:00,21893.750000000,21835.750000000,0.74000,-116.000000000,1,Long,06/11/2025 00:00:00 -05:00,00:28:27.2978410
1025070838,MNQM5,06/11/2025 20:07:12 +01:00,06/11/2025 20:08:47 +01:00,21835.000000000,21852.500000000,0.74000,-35.000000000,1,Short,06/11/2025 00:00:00 -05:00,00:01:34.9616630
1025139778,MNQM5,06/11/2025 20:16:46 +01:00,06/11/2025 20:24:29 +01:00,21849.000000000,21868.000000000,0.74000,-38.000000000,1,Short,06/11/2025 00:00:00 -05:00,00:07:43.1110560
1025178626,MNQM5,06/11/2025 20:25:58 +01:00,06/11/2025 20:32:27 +01:00,21873.250000000,21851.500000000,0.74000,-43.500000000,1,Long,06/11/2025 00:00:00 -05:00,00:06:29.5351610
1025211043,MNQM5,06/11/2025 20:37:44 +01:00,06/11/2025 20:38:37 +01:00,21851.500000000,21856.500000000,0.74000,-10.000000000,1,Short,06/11/2025 00:00:00 -05:00,00:00:52.8162000
1050892459,MNQU5,06/19/2025 15:09:41 +01:00,06/19/2025 15:38:07 +01:00,21698.000000000,21708.500000000,0.74000,-21.000000000,1,Short,06/19/2025 00:00:00 -05:00,00:28:25.6770980
1050892465,MNQU5,06/19/2025 15:29:45 +01:00,06/19/2025 15:38:07 +01:00,21719.750000000,21708.500000000,0.74000,22.500000000,1,Short,06/19/2025 00:00:00 -05:00,00:08:21.7480790
